0.050000,0.050000,0.050000,0.050000
0.000000,0.900000,0.150000,0.050000
0.900000,0.000000,0.050000,0.150000
0.850000,0.850000,0.150000,0.150000
0.150000,0.050000,0.000000,0.900000
0.100000,0.900000,0.100000,0.900000
1.000000,0.000000,0.000000,1.000000
0.950000,0.850000,0.100000,1.000000
0.050000,0.150000,0.900000,0.000000
0.000000,1.000000,1.000000,0.000000
0.900000,0.100000,0.900000,0.100000
0.850000,0.950000,1.000000,0.100000
0.150000,0.150000,0.850000,0.850000
0.100000,1.000000,0.950000,0.850000
1.000000,0.100000,0.850000,0.950000
0.950000,0.950000,0.950000,0.950000
